item-db-1  | 2024-01-04T09:52:23.594+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=65fef00df4e6
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2024-01-04T09:52:23.598+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2024-01-04T09:52:23.599+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2024-01-04T09:52:23.603+0000 I STORAGE  [initandlisten] 
item-db-1  | 2024-01-04T09:52:23.603+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2024-01-04T09:52:23.603+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2024-01-04T09:52:23.604+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1452M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2024-01-04T09:52:24.371+0000 I STORAGE  [initandlisten] WiredTiger message [1704361944:370794][1:0x7ffffe5f5a40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2024-01-04T09:52:24.407+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-01-04T09:52:24.407+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2024-01-04T09:52:24.407+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2024-01-04T09:52:24.407+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-01-04T09:52:24.408+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-01-04T09:52:24.408+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1  | 2024-01-04T09:52:24.408+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1  | 2024-01-04T09:52:24.408+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-01-04T09:52:24.413+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 05a1e94a-d8f8-436d-b59c-670c8bda2b9d
item-db-1  | 2024-01-04T09:52:24.447+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1  | 2024-01-04T09:52:24.478+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 2e100058-9e40-48fd-8a0d-ee9ca20566fb
item-db-1  | 2024-01-04T09:52:24.488+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2024-01-04T09:52:24.495+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2024-01-04T09:52:24.496+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1  | 2024-01-04T09:52:24.496+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1  | 2024-01-04T09:52:24.500+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 117e4efb-cbf7-4935-a6c3-a389d98bb24b
item-db-1  | 2024-01-04T09:52:24.510+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1  | 2024-01-04T09:52:24.510+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1  | 2024-01-04T09:52:24.517+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
